CNAE 2.0 Classe,Atividade Nome
25390,"Serviços de usinagem, solda, tratamento e revestimento em metais"
25411,Fabricação de artigos de cutelaria
25420,"Fabricação de artigos de serralheria, exceto esquadrias"
25438,Fabricação de ferramentas
25501,"Fabricação de equipamento bélico pesado, armas e munições"
25918,Fabricação de embalagens metálicas
25926,Fabricação de produtos de trefilados de metal
25934,Fabricação de artigos de metal para uso doméstico e pessoal
25993,Fabricação de produtos de metal não especificados anteriormente
26108,Fabricação de componentes eletrônicos
26213,Fabricação de equipamentos de informática
26221,Fabricação de periféricos para equipamentos de informática
26311,Fabricação de equipamentos transmissores de comunicação
26329,Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação
26400,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
26515,"Fabricação de aparelhos e equipamentos de medida, teste e controle"
26523,Fabricação de cronômetros e relógios
26604,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
26701,"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos"
26809,"Fabricação de mídias virgens, magnéticas e ópticas"
27104,"Fabricação de geradores, transformadores e motores elétricos"
27210,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores"
27228,Fabricação de baterias e acumuladores para veículos automotores
27317,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica
27325,Fabricação de material elétrico para instalações em circuito de consumo
27333,"Fabricação de fios, cabos e condutores elétricos isolados"
27406,Fabricação de lâmpadas e outros equipamentos de iluminação
27511,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico"
27597,Fabricação de aparelhos eletrodomésticos não especificados anteriormente
27902,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente
28119,"Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários"
28127,"Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas"
28135,"Fabricação de válvulas, registros e dispositivos semelhantes"
28143,Fabricação de compressores
28151,Fabricação de equipamentos de transmissão para fins industriais
28216,Fabricação de aparelhos e equipamentos para instalações térmicas
28224,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas"
28232,Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
28241,Fabricação de aparelhos e equipamentos de ar condicionado
28259,Fabricação de máquinas e equipamentos para saneamento básico e ambiental
28291,Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente
28313,Fabricação de tratores agrícolas
28321,Fabricação de equipamentos para irrigação agrícola
28330,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação"
28402,Fabricação de máquinas-ferramenta
28518,Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo
28526,"Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo"
28534,"Fabricação de tratores, exceto agrícolas"
28542,"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores"
28615,"Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta"
28623,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo"
28631,Fabricação de máquinas e equipamentos para a indústria têxtil
28640,"Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados"
28658,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos"
28666,Fabricação de máquinas e equipamentos para a indústria do plástico
28691,Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente
29107,"Fabricação de automóveis, camionetas e utilitários"
29204,Fabricação de caminhões e ônibus
29301,"Fabricação de cabines, carrocerias e reboques para veículos automotores"
29417,Fabricação de peças e acessórios para o sistema motor de veículos automotores
29425,Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores
29433,Fabricação de peças e acessórios para o sistema de freios de veículos automotores
29441,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores
29450,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"
29492,Fabricação de peças e acessórios para veículos automotores não especificados anteriormente
29506,Recondicionamento e recuperação de motores para veículos automotores
30113,Construção de embarcações e estruturas flutuantes
30121,Construção de embarcações para esporte e lazer
30318,"Fabricação de locomotivas, vagões e outros materiais rodantes"
30326,Fabricação de peças e acessórios para veículos ferroviários
30415,Fabricação de aeronaves
30423,"Fabricação de turbinas, motores e outros componentes e peças para aeronaves"
30504,Fabricação de veículos militares de combate
30911,Fabricação de motocicletas
30920,Fabricação de bicicletas e triciclos não motorizados
30997,Fabricação de equipamentos de transporte não especificados anteriormente
31012,Fabricação de móveis com predominância de madeira
31021,Fabricação de móveis com predominância de metal
31039,"Fabricação de móveis de outros materiais, exceto madeira e metal"
31047,Fabricação de colchões
32116,Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria
32124,Fabricação de bijuterias e artefatos semelhantes
32205,Fabricação de instrumentos musicais
32302,Fabricação de artefatos para pesca e esporte
32400,Fabricação de brinquedos e jogos recreativos
32507,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos
32914,"Fabricação de escovas, pincéis e vassouras"
32922,Fabricação de equipamentos e acessórios para segurança e proteção pessoal e profissional
32990,Fabricação de produtos diversos não especificados anteriormente
33112,"Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos"
33121,Manutenção e reparação de equipamentos eletrônicos e ópticos
33139,Manutenção e reparação de máquinas e equipamentos elétricos
33147,Manutenção e reparação de máquinas e equipamentos da indústria mecânica
33155,Manutenção e reparação de veículos ferroviários
33163,Manutenção e reparação de aeronaves
33171,Manutenção e reparação de embarcações
33198,Manutenção e reparação de equipamentos e produtos não especificados anteriormente
33210,Instalação de máquinas e equipamentos industriais
33295,Instalação de equipamentos não especificados anteriormente
35115,Geração de energia elétrica
35123,Transmissão de energia elétrica
35131,Comércio atacadista de energia elétrica
35140,Distribuição de energia elétrica
35204,Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas
35301,"Produção e distribuição de vapor, água quente e ar condicionado"
36006,"Captação, tratamento e distribuição de água"
37011,Gestão de redes de esgoto
37029,"Atividades relacionadas a esgoto, exceto a gestão de redes"
38114,Coleta de resíduos não perigosos
38122,Coleta de resíduos perigosos
38211,Tratamento e disposição de resíduos não perigosos
38220,Tratamento e disposição de resíduos perigosos
38319,Recuperação de materiais metálicos
38327,Recuperação de materiais plásticos
38394,Recuperação de materiais não especificados anteriormente
39005,Descontaminação e outros serviços de gestão de resíduos
41107,Incorporação de empreendimentos imobiliários
41204,Construção de edifícios
42111,Construção de rodovias e ferrovias
42120,Construção de obras de arte especiais
42138,"Obras de urbanização - ruas, praças e calçadas"
42219,Obras para geração e distribuição de energia elétrica e para telecomunicações
42227,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas"
42235,"Construção de redes de transportes por dutos, exceto para água e esgoto"
42910,"Obras portuárias, marítimas e fluviais"
42928,Montagem de instalações industriais e de estruturas metálicas
42995,Obras de engenharia civil não especificadas anteriormente
43118,Demolição e preparação de canteiros de obras
43126,Perfurações e sondagens
43134,Obras de terraplenagem
43193,Serviços de preparação do terreno não especificados anteriormente
43215,Instalações elétricas
43223,"Instalações hidráulicas, de sistemas de ventilação e refrigeração"
43291,Obras de instalações em construções não especificadas anteriormente
43304,Obras de acabamento
43916,Obras de fundações
43991,Serviços especializados para construção não especificados anteriormente
45111,Comércio a varejo e por atacado de veículos automotores
45129,Representantes comerciais e agentes do comércio de veículos automotores
45200,Manutenção e reparação de veículos automotores
45307,Comércio de peças e acessórios para veículos automotores
45412,"Comércio por atacado e a varejo de motocicletas, peças e acessórios"
45421,"Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios"
45439,Manutenção e reparação de motocicletas
46117,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
46125,"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos"
46133,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens"
46141,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves"
46150,"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico"
46168,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem"
46176,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo"
46184,Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
46192,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
46214,Comércio atacadista de café em grão
46222,Comércio atacadista de soja
46231,"Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja"
46311,Comércio atacadista de leite e laticínios
46320,"Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas"
46338,Comércio atacadista de hortifrutigranjeiros
46346,"Comércio atacadista de carnes, produtos da carne e pescado"
46354,Comércio atacadista de bebidas
46362,Comércio atacadista de produtos do fumo
46371,Comércio atacadista especializado em produtos alimentícios não especificados anteriormente
46397,Comércio atacadista de produtos alimentícios em geral
46419,"Comércio atacadista de tecidos, artefatos de tecidos e de armarinho"
46427,Comércio atacadista de artigos do vestuário e acessórios
46435,Comércio atacadista de calçados e artigos de viagem
46443,Comércio atacadista de produtos farmacêuticos para uso humano e veterinário
46451,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico"
46460,"Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal"
46478,"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações"
46494,Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
46516,"Comércio atacadista de computadores, periféricos e suprimentos de informática"
46524,Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
46613,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
46621,"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças"
46630,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
46648,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odontomédico-hospitalar; partes e peças"
46656,Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças
46699,"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças"
46711,Comércio atacadista de madeira e produtos derivados
46729,Comércio atacadista de ferragens e ferramentas
46737,Comércio atacadista de material elétrico
46745,Comércio atacadista de cimento
46796,Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral
46818,"Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP"
46826,Comércio atacadista de gás liquefeito de petróleo (GLP)
46834,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo"
46842,"Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos"
46851,"Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção"
46869,Comércio atacadista de papel e papelão em bruto e de embalagens
46877,Comércio atacadista de resíduos e sucatas
46893,Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente
46915,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios"
46923,"Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários"
46931,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários"
47113,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados"
47121,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
47130,"Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios"
47211,"Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes"
47229,Comércio varejista de carnes e pescados - açougues e peixarias
47237,Comércio varejista de bebidas
47245,Comércio varejista de hortifrutigranjeiros
47296,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo 
47318,Comércio varejista de combustíveis para veículos automotores
47326,Comércio varejista de lubrificantes
47415,Comércio varejista de tintas e materiais para pintura
47423,Comércio varejista de material elétrico
47431,Comércio varejista de vidros
47440,"Comércio varejista de ferragens, madeira e materiais de construção"
47512,Comércio varejista especializado de equipamentos e suprimentos de informática
47521,Comércio varejista especializado de equipamentos de telefonia e comunicação
47539,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
47547,"Comércio varejista especializado de móveis, colchoaria e artigos de iluminação"
47555,"Comércio varejista especializado de tecidos e artigos de cama, mesa e banho"
47563,Comércio varejista especializado de instrumentos musicais e acessórios
47571,Comércio varejista especializado de peças e acessórios para aparelhos
47598,Comércio varejista de artigos de uso pessoal e doméstico não especificados anteriormente
47610,"Comércio varejista de livros, jornais, revistas e papelaria"
47628,"Comércio varejista de discos, CDs, DVDs e fitas"
47636,Comércio varejista de artigos recreativos e esportivos
47717,Comércio varejista de produtos farmacêuticos para uso humano e veterinário
47725,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
47733,Comércio varejista de artigos médicos e ortopédicos
47741,Comércio varejista de artigos de óptica
47814,Comércio varejista de artigos do vestuário e acessórios
47822,Comércio varejista de calçados e artigos de viagem
47831,Comércio varejista de joias e relógios
47849,Comércio varejista de gás liquefeito de petróleo (GLP)
47857,Comércio varejista de artigos usados
47890,Comércio varejista de outros produtos novos não especificados anteriormente
47903,Comércio ambulante e outros tipos de comércio varejista
49116,Transporte ferroviário de carga
49124,Transporte metroferroviário de passageiros
49213,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana"
49221,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional"
49230,Transporte rodoviário de táxi
49248,Transporte escolar
49299,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente"
49302,Transporte rodoviário de carga
49400,Transporte dutoviário
49507,"Trens turísticos, teleféricos e similares"
50114,Transporte marítimo de cabotagem
50122,Transporte marítimo de longo curso
50211,Transporte por navegação interior de carga
50220,Transporte por navegação interior de passageiros em linhas regulares
50301,Navegação de apoio
50912,Transporte por navegação de travessia
50998,Transportes aquaviários não especificados anteriormente
51111,Transporte aéreo de passageiros regular
51129,Transporte aéreo de passageiros não regular
51200,Transporte aéreo de carga
51307,Transporte espacial
52117,Armazenamento
52125,Carga e descarga
52214,"Concessionárias de rodovias, pontes, túneis e serviços relacionados"
52222,Terminais rodoviários e ferroviários
52231,Estacionamento de veículos
52290,Atividades auxiliares dos transportes terrestres não especificadas anteriormente
52311,Gestão de portos e terminais
52320,Atividades de agenciamento marítimo
52397,Atividades auxiliares dos transportes aquaviários não especificadas anteriormente
52401,Atividades auxiliares dos transportes aéreos
52508,Atividades relacionadas à organização do transporte de carga
53105,Atividades de Correio
53202,Atividades de malote e de entrega
55108,Hotéis e similares
55906,Outros tipos de alojamento não especificados anteriormente
56112,Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas
56121,Serviços ambulantes de alimentação
56201,"Serviços de catering, bufê e outros serviços de comida preparada"
58115,Edição de livros
58123,Edição de jornais
58131,Edição de revistas
58191,"Edição de cadastros, listas e outros produtos gráficos"
58212,Edição integrada à impressão de livros
58221,Edição integrada à impressão de jornais
58239,Edição integrada à impressão de revistas
58298,"Edição integrada à impressão de cadastros, listas e outros produtos gráficos"
59111,"Atividades de produção cinematográfica, de vídeos e de programas de televisão"
59120,"Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão"
59138,"Distribuição cinematográfica, de vídeo e de programas de televisão"
59146,Atividades de exibição cinematográfica
59201,Atividades de gravação de som e de edição de música
60101,Atividades de rádio
60217,Atividades de televisão aberta
60225,Programadoras e atividades relacionadas à televisão por assinatura
61108,Telecomunicações por fio
61205,Telecomunicações sem fio
61302,Telecomunicações por satélite
61418,Operadoras de televisão por assinatura por cabo
61426,Operadoras de televisão por assinatura por micro-ondas
61434,Operadoras de televisão por assinatura por satélite
61906,Outras atividades de telecomunicações
62015,Desenvolvimento de programas de computador sob encomenda
62023,Desenvolvimento e licenciamento de programas de computador customizáveis
62031,Desenvolvimento e licenciamento de programas de computador não customizáveis
62040,Consultoria em tecnologia da informação
62091,"Suporte técnico, manutenção e outros serviços em tecnologia da informação"
63119,"Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na Internet"
63194,"Portais, provedores de conteúdo e outros serviços de informação na Internet"
63917,Agências de notícias
63992,Outras atividades de prestação de serviços de informação não especificadas anteriormente
64107,Banco Central
64212,Bancos comerciais
64221,"Bancos múltiplos, com carteira comercial"
64239,Caixas econômicas
64247,Crédito cooperativo
64310,"Bancos múltiplos, sem carteira comercial"
64328,Bancos de investimento
64336,Bancos de desenvolvimento
64344,Agências de fomento
64352,Crédito imobiliário
64361,"Sociedades de crédito, financiamento e investimento - financeiras"
64379,Sociedades de crédito ao microempreendedor
64387,Bancos de câmbio e outras instituições de intermediação não monetária
64409,Arrendamento mercantil
64506,Sociedades de capitalização
64611,Holdings de instituições financeiras
64620,Holdings de instituições não financeiras
64638,"Outras sociedades de participação, exceto holdings"
64701,Fundos de investimento
64913,Sociedades de fomento mercantil - factoring
64921,Securitização de créditos
64930,Administração de consórcios para aquisição de bens e direitos
64999,Outras atividades de serviços financeiros não especificadas anteriormente
65111,Seguros de vida
65120,Seguros não vida
65201,Seguros-saúde
65308,Resseguros
65413,Previdência complementar fechada
65421,Previdência complementar aberta
65502,Planos de saúde
66118,Administração de bolsas e mercados de balcão organizados
66126,"Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias"
66134,Administração de cartões de crédito
66193,Atividades auxiliares dos serviços financeiros não especificadas anteriormente
66215,Avaliação de riscos e perdas
66223,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde"
66291,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente"
66304,Atividades de administração de fundos por contrato ou comissão
68102,Atividades imobiliárias de imóveis próprios
68218,"Intermediação na compra, venda e aluguel de imóveis"
68226,Gestão e administração da propriedade imobiliária
69117,"Atividades jurídicas, exceto cartórios"
69125,Cartórios
69206,"Atividades de contabilidade, consultoria e auditoria contábil e tributária"
70107,Sedes de empresas e unidades administrativas locais
70204,Atividades de consultoria em gestão empresarial
71111,Serviços de arquitetura
71120,Serviços de engenharia
71197,Atividades técnicas relacionadas à arquitetura e engenharia
71201,Testes e análises técnicas
72100,Pesquisa e desenvolvimento experimental em ciências físicas e naturais
72207,Pesquisa e desenvolvimento experimental em ciências sociais e humanas
73114,Agências de publicidade
